Country Name,Country Code,Series,Series Code,2012 [YR2012],2015 [YR2015],2018 [YR2018]
Korea, Rep.,KOR,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,544.193124828207,527.756665177056,523.814004561439
Korea, Rep.,KOR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,553.766659143614,524.1062,525.933001858893
Jordan,JOR,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,430.401322660353,427.996711055573,443.659661272959
Jordan,JOR,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,387.819309661635,388.962728445628,414.323395645659
Jordan,JOR,PISA: Mean performance on the science scale,LO.PISA.SCI,409.36721468725,408.6691,429.252073733676
Jordan,JOR,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,361.167447291825,371.9123759217,393.064155513261
Jordan,JOR,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,435.999123544892,443.596394298139,444.155644400536
Jordan,JOR,PISA: Mean performance on the reading scale,LO.PISA.REA,399.03474710354,408.1022,419.063660710194
Jordan,JOR,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,375.099358320404,373.001316981648,396.631269400915
Jordan,JOR,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,395.841478834768,387.377200119624,402.783273076372
