Date,TempMax,TempMin
Mer. 26 septembre,23.9 ,15.1 
Jeu. 27 septembre,21.9 ,12.9 
Ven. 28 septembre,25.2 ,12.8 
Sam. 29 septembre,26.4 ,15.5 
Dim. 30 septembre,25 ,15.6 
Lun. 1 octobre,18.7 ,14.9 
Mar. 2 octobre,22.1 ,12.4 
Mer. 3 octobre,24.7 ,11.5 
Jeu. 4 octobre,25.2 ,14.7 
Ven. 5 octobre,26.3 ,14.5 
Sam. 6 octobre,23 ,15.9 
Dim. 7 octobre,20.2 ,13.8 
Lun. 8 octobre,22.2 ,15.2 
Mar. 9 octobre,26.2 ,16.8 
Mer. 10 octobre,22 ,17.7 
Jeu. 11 octobre,23.6 ,17.5 
Ven. 12 octobre,23.7 ,17.9 
Sam. 13 octobre,24.5 ,14.6 
Dim. 14 octobre,22.4 ,18.8 
Lun. 15 octobre,22.2 ,17.5 
Mar. 16 octobre,21.5 ,16.6 
Mer. 17 octobre,23.2 ,16.1 
Jeu. 18 octobre,24.3 ,17.1 
Ven. 19 octobre,24.8 ,16.2 
Sam. 20 octobre,24.2 ,14.8 
Dim. 21 octobre,23.2 ,13.6 
Lun. 22 octobre,19.4 ,14.8 
Mar. 23 octobre,21.2 ,10.9 
Mer. 24 octobre,24.1 ,10.2 
Jeu. 25 octobre,22.2 ,11.5 
Ven. 26 octobre,22.3 ,13.3 
Sam. 27 octobre,16.1 ,11.7 
Dim. 28 octobre,14.8 ,9.5 
Lun. 29 octobre,12.6 ,7.5 
Mar. 30 octobre,15.5 ,6.4 
Mer. 31 octobre,17.6 ,12.3 
Jeu. 1 novembre,18.6 ,12.9 
Ven. 2 novembre,15.9 ,12.4 
Sam. 3 novembre,19.1 ,10.2 
Dim. 4 novembre,20.3 ,13.4 
Lun. 5 novembre,19.6 ,16.8 
Mar. 6 novembre,17.5 ,14.3 
Mer. 7 novembre,17.4 ,12.9 
Jeu. 8 novembre,19.5 ,13.9 
Ven. 9 novembre,18.7 ,15.7 
Sam. 10 novembre,17.9 ,15.9 
Dim. 11 novembre,19.1 ,17.1 
Lun. 12 novembre,19.6 ,17.9 
Mar. 13 novembre,21.9 ,17.7 
Mer. 14 novembre,21.1 ,13.7 
Jeu. 15 novembre,19.9 ,13.8 
Ven. 16 novembre,17.8 ,9.8 
Sam. 17 novembre,14.3 ,13.2 
Dim. 18 novembre,15.4 ,10.1 
Lun. 19 novembre,13.8 ,4.3 
Mar. 20 novembre,13.7 ,6.3 
Mer. 21 novembre,15.1 ,11.6 
Jeu. 22 novembre,17.3 ,11.2 
Ven. 23 novembre,16.6 ,12.9 
Sam. 24 novembre,15.4 ,11.1 
Dim. 25 novembre,14.8 ,6.6 
Lun. 26 novembre,11.6 ,5.6 
Mar. 27 novembre,12.1 ,8.6 
Mer. 28 novembre,16 ,4.3 
Jeu. 29 novembre,16.7 ,6.5 
Ven. 30 novembre,13.8 ,10.2 
Sam. 1 decembre,15.2 ,5.6 
Dim. 2 decembre,14.2 ,5.9 
Lun. 3 decembre,16.6 ,11.2 
Mar. 4 decembre,17.8 ,12.9 
Mer. 5 decembre,19.4 ,8.6 
Jeu. 6 decembre,17.7 ,8.8 
Ven. 7 decembre,15.4 ,7.8 
Sam. 8 decembre,14 ,9.1 
Dim. 9 decembre,16.6 ,10.4 
Lun. 10 decembre,13.4 ,9.4 
Mar. 11 decembre,14 ,7.1 
Mer. 12 decembre,12.6 ,5.7 
Jeu. 13 decembre,10.3 ,6.1 
Ven. 14 decembre,10.7 ,7.5 
Sam. 15 decembre,10 ,-0.1 
Dim. 16 decembre,10.2 ,6.7 
Lun. 17 decembre,13 ,7.6 
Mar. 18 decembre,14.4 ,4.2 
Mer. 19 decembre,14.3 ,12.1 
Jeu. 20 decembre,12.7 ,5.6 
Ven. 21 decembre,15.1 ,4.3 
Sam. 22 decembre,16 ,8.2 
Dim. 23 decembre,17.3 ,11.5 
Lun. 24 decembre,17.9 ,12.1 
Mar. 25 decembre,16.6 ,7.5 
Mer. 26 decembre,14.1 ,4.6 
Jeu. 27 decembre,14.4 ,4.7 
Ven. 28 decembre,11.8 ,3.9 
Sam. 29 decembre,13.4 ,3.3 
Dim. 30 decembre,13.1 ,1.7 
Lun. 31 decembre,14.4 ,4.6 
